seed,dimension,n_class,n_cluster_per_class,ratio_affected,scenario_type,approach,pre_accuracy_global,precision_macro,recall_macro,f1_macro,memory_global,execution_time,num_degradations,degradations_per_100_windows,fraction_degraded,avg_recovery_time
4,10,2,2,1.0,3,0,0.9651515151515152,0.9667076880331053,0.9654604347173386,0.96545555973424,98.734375,3.882765054702759,0.0,0.0,0.0,0.0
4,10,2,4,1.0,1,0,0.8668888888888889,0.8690601224279795,0.8672919350595493,0.8671547903931407,1236.7421875,6.252960205078125,7.0,7.07070707070707,0.2222222222222222,3.142857142857143
2,2,2,2,0.5,1,0,0.8498181818181817,0.8617566512846877,0.8518015187513737,0.8503559107645584,155.421875,3.682013988494873,1.0,1.0101010101010102,0.5252525252525253,52.0
4,2,2,2,0.5,0,0,0.9823678929765888,0.982599372249496,0.9823791243609084,0.982423146922901,58.296875,9.313139200210571,1.0,0.334448160535117,0.0267558528428093,8.0
4,2,2,3,0.5,3,0,0.9677777777777778,0.9685471027854504,0.968194434427274,0.9680953882492784,139.078125,3.4639101028442383,1.0,1.0101010101010102,0.0606060606060606,6.0
4,10,2,3,1.0,0,0,0.99933110367893,0.9993268817058903,0.9993265161491468,0.9993266615743088,98.734375,11.332777976989746,0.0,0.0,0.0,0.0
2,5,2,3,1.0,3,0,0.94810101010101,0.9490092271932192,0.9485336221610796,0.9485809905467736,174.609375,3.5339174270629883,0.0,0.0,0.0,0.0
2,10,2,1,0.5,2,0,0.9606868686868688,0.9608565185290584,0.9600843055303532,0.9600818646208154,134.9921875,3.518219232559204,0.0,0.0,0.0,0.0
4,5,2,3,0.5,3,0,0.9895757575757576,0.9898051684986604,0.9896251647687868,0.9896582739934596,192.7578125,3.338240146636963,1.0,1.0101010101010102,0.0101010101010101,1.0
2,5,2,3,0.5,3,0,0.9476363636363636,0.9481704224342004,0.9481623204560377,0.948138926184618,125.9921875,3.211815357208252,0.0,0.0,0.0,0.0
4,2,2,4,0.5,1,0,0.885030303030303,0.8900621357979022,0.8864452012580611,0.8859227894925846,271.8359375,3.2682104110717773,2.0,2.0202020202020203,0.2323232323232323,11.5
3,2,2,2,0.5,0,0,0.9987023411371236,0.9987130405417016,0.9987016640417318,0.9987066020441652,36.8125,8.81670093536377,0.0,0.0,0.0,0.0
3,10,2,3,0.5,2,0,0.9648080808080808,0.965190782825864,0.9651285188940968,0.9651375944598518,98.7890625,3.421268939971924,0.0,0.0,0.0,0.0
4,10,2,4,0.5,3,0,0.9645050505050504,0.9661281115983472,0.9648199479473932,0.9648139104283836,145.6640625,5.459081172943115,0.0,0.0,0.0,0.0
3,10,2,4,1.0,3,0,0.9276565656565656,0.9309692415085672,0.928329844375866,0.9282466094654984,419.390625,4.448078155517578,3.0,3.0303030303030303,0.2222222222222222,7.333333333333333
2,5,2,1,0.5,1,0,0.881010101010101,0.884419840944681,0.8820053178007183,0.8819698264065845,368.3359375,3.8016438484191895,4.0,4.040404040404041,0.1717171717171717,4.25
4,10,2,4,1.0,3,0,0.9626060606060608,0.9644335344949247,0.9629385180606796,0.9629286374745664,145.6640625,3.802090883255005,0.0,0.0,0.0,0.0
